Elizabeth Rodriguez,Desenvolupament d'eines bioinformàtiques per l'epigenètica,1973-
Jennifer Hernandez,Estudis sobre variació genètica humana,1980-
Susan Lopez,Desenvolupament de programari per anàlisi de proteïnes,1962-
Margaret Gonzalez,Recerca en metagenòmica,1958-
Dorothy Wilson,Estudis sobre l'evolució molecular,1975-
Sarah Anderson,Desenvolupament de metodologies per seqüenciació de nova generació,1983-
Jessica Thomas,Investigació en biologia computacional estructural,1972-
Karen Taylor,Desenvolupament de bases de dades de proteïnes,1960-
Nancy Moore,Innovacions en bioinformàtica de sistemes,1971-
Betty Jackson,Recerca en biologia de xarxes,1952-
Helen White,Desenvolupament d'eines per anàlisi de RNA-seq,1985-
Sandra Harris,Estudis sobre interaccions proteïna-proteïna,1976-
Donna Martin,Recerca en farmacogenòmica,1967-
Carol Thompson,Desenvolupament de metodologies per l'anàlisi de dades de microarrays,1970-
